0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144
71,69,68,68,65,61,62,66,66,65,63,62,74,68,65,65,65,63,63,65,64,63,63,62,73,67,62,63,65,66,66,66,63,63,63,63,72,65,61,62,66,67,67,67,63,63,63,63,66,64,64,63,61,64,67,65,63,62,63,66,68,67,68,67,63,63,66,67,64,62,62,63,71,70,71,70,65,62,65,68,64,62,62,62,73,71,71,71,67,62,63,67,63,62,63,64,73,70,68,69,68,64,62,65,64,64,65,66,71,68,66,67,69,66,63,63,67,66,65,65,70,69,66,66,69,68,63,62,68,67,65,64,70,71,68,67,70,68,64,62,67,66,66,65,2
62,61,61,61,59,59,66,63,61,58,49,29,62,62,62,62,63,61,63,54,49,48,48,37,63,64,64,64,65,62,59,49,45,45,48,42,64,64,65,65,65,62,60,54,56,54,50,40,67,66,64,63,63,64,64,62,60,58,50,41,64,63,61,61,59,59,62,64,60,51,42,37,62,60,59,58,56,57,60,63,59,46,34,29,64,60,58,57,59,62,60,57,55,49,34,21,64,62,60,60,64,68,63,55,54,51,36,22,63,62,63,65,67,69,65,59,57,49,36,28,62,61,63,66,64,65,63,63,63,51,35,28,63,61,62,64,59,61,60,63,67,55,34,24,2
80,78,77,78,81,83,79,74,71,71,72,75,78,76,75,76,79,81,78,74,72,71,72,74,77,76,75,75,77,79,77,74,70,70,71,71,77,78,77,76,76,77,75,73,70,71,73,72,76,77,77,76,76,76,74,71,75,77,79,77,73,74,74,74,74,75,73,71,77,79,80,78,74,74,72,71,73,74,74,72,73,75,75,73,78,76,73,71,72,74,74,73,70,71,71,70,77,77,77,76,75,73,71,70,72,71,71,72,75,77,78,79,78,76,74,73,73,72,72,74,70,72,74,75,74,74,73,74,73,72,72,74,68,69,70,70,69,70,71,73,74,71,69,71,2
76,75,76,77,73,69,70,74,75,74,73,72,74,73,75,77,73,69,71,74,74,73,73,73,70,70,72,75,74,71,72,75,73,72,73,74,70,70,72,75,75,73,74,75,72,71,72,73,74,73,74,75,75,74,75,75,71,70,71,71,75,73,72,72,75,73,74,74,71,70,71,70,72,72,72,71,73,72,73,73,72,72,72,70,70,73,74,74,71,70,72,73,72,73,73,70,71,70,70,71,70,72,72,72,72,73,74,74,73,71,70,70,73,74,71,68,67,70,73,74,75,73,72,71,75,75,72,66,64,68,72,72,73,74,75,75,74,76,74,68,66,69,71,69,2
72,71,69,68,69,71,70,68,68,70,70,68,73,72,70,69,70,72,71,68,69,71,71,70,74,73,71,69,70,72,71,69,68,69,71,71,74,73,71,69,70,71,71,69,67,67,68,69,72,72,70,69,69,71,70,69,69,68,68,68,70,70,69,68,69,71,71,69,72,71,70,69,69,69,69,68,69,71,72,71,72,72,71,70,69,69,69,68,70,72,73,72,70,70,70,69,69,68,69,71,70,68,68,71,67,69,70,69,70,67,67,71,70,66,66,70,69,68,67,67,71,67,68,72,72,66,65,70,73,71,68,65,72,70,70,73,73,69,68,71,73,72,69,64,2
69,71,69,64,66,68,70,68,65,65,68,71,71,72,70,66,66,68,70,69,67,67,69,71,71,69,68,68,65,66,67,67,67,66,67,67,67,65,66,68,67,67,66,66,66,66,66,65,66,64,66,70,72,69,67,66,66,67,67,66,67,66,68,72,72,69,65,64,65,66,67,66,68,67,69,71,69,66,63,63,64,65,66,65,68,67,67,67,67,65,64,64,65,67,67,67,69,69,68,66,65,60,62,66,66,66,67,67,70,73,73,71,64,61,64,68,66,64,64,64,67,70,72,71,64,62,64,68,67,64,62,61,62,63,66,67,65,62,63,66,67,66,63,60,2
68,65,63,64,65,68,70,69,65,61,59,56,68,66,66,65,64,66,70,70,62,60,60,58,65,64,64,63,60,61,65,67,57,58,61,60,63,61,62,61,58,59,62,64,58,59,63,61,65,63,62,62,62,63,65,64,63,63,65,63,67,63,63,64,65,66,66,62,62,62,64,63,66,63,62,64,64,65,63,59,59,61,64,63,65,63,64,65,64,64,62,58,59,62,67,64,68,65,62,61,61,61,61,61,63,65,66,64,64,63,63,64,63,61,61,62,65,65,65,65,61,61,63,66,65,61,61,63,65,63,62,63,62,61,64,67,67,63,62,64,65,61,59,61,2
61,67,64,61,63,61,59,61,66,64,59,57,61,65,62,60,63,63,61,60,63,62,59,59,62,65,62,61,64,67,64,60,59,59,58,58,63,66,63,61,63,67,64,59,59,60,60,59,64,67,63,60,60,63,61,59,61,64,63,61,65,69,65,62,62,63,61,59,63,65,62,59,64,67,65,63,64,63,61,60,63,63,60,59,62,63,60,59,61,61,59,60,63,64,63,65,62,61,61,61,58,60,61,61,62,64,64,62,63,62,63,64,61,61,60,60,62,64,64,63,62,61,62,64,64,61,59,60,62,63,63,63,62,61,62,64,66,61,58,60,63,63,62,62,2
60,61,61,60,60,60,60,59,58,62,65,62,60,60,59,58,58,60,61,60,62,62,63,61,59,59,58,57,58,62,64,64,64,62,62,62,62,62,60,59,60,63,64,64,61,59,62,65,65,65,63,62,61,62,61,59,58,58,62,65,61,62,62,62,62,63,62,59,58,59,62,63,58,59,60,61,63,65,65,63,59,61,62,61,61,62,62,62,64,65,65,62,60,62,63,61,65,65,64,62,59,59,61,63,62,62,61,63,65,64,62,61,60,60,60,60,60,62,65,67,65,62,60,60,62,62,60,58,60,60,62,62,63,61,60,61,63,63,62,60,60,57,58,58,2
58,60,63,61,63,61,62,63,63,62,60,61,58,60,62,60,59,62,64,64,61,61,61,62,61,62,61,58,57,64,68,64,60,60,62,64,64,63,61,58,60,65,68,65,60,59,63,67,64,63,62,61,63,63,63,63,60,57,60,66,61,62,64,64,63,59,59,61,61,57,58,63,58,61,64,63,60,58,58,61,62,59,59,61,59,62,63,59,57,58,60,63,64,62,61,60,67,65,61,62,59,62,67,68,66,62,62,63,68,64,61,61,64,65,66,66,65,64,63,63,59,58,61,64,64,64,62,61,63,66,66,63,54,56,64,67,65,65,62,59,61,66,66,63,2
